OBJECTID,Shape,NIB,IdBidang,ls_asal,status_per,kelompok_perubahan,PREDICTED,KECAMATAN,KELURAHAN,TIPEHAK,NIB_1,lb_dpn,letak,s_letak,zonasi,s_zonasi,kls_jln,s_kls_jln,IdBidang_1,ls_tnh,elvasi,s_elvasi,lb_jln,jk_atrs,jk_kolp,jk_kols,CBD,jk_atrp,Shape_Le_1,Shape_Le_2,PREDICTED_1,Shape_Le_3,Shape_Length,Shape_Area,bentuk,s_bentuk
11,"(96547.17030592333, 756157.6524292363)",378,11,30.826661563065652,tetap,,2681253.89721,Pekalipan,Pulasaren,Hak Milik,00378,5.53266220949,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,7105,30.826661563065652,Sama,2.0,1.835479,1236.46526193,1819.21675697,2249.93638707,114.283588449,2095.20916867,27.7679527966,27.7679527912,2681253.89721,24.2183792675,24.218379267478106,30.826661563065652,,
12,"(96333.68445199283, 756193.1906929988)",784,12,84.67195007979791,tetap,,2479193.61496,Pekalipan,Pulasaren,Hak Milik,00784,6.59527523056,Hook,4.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,7279,84.67195007979791,Sama,2.0,1.835479,1394.88969773,1594.54379885,2025.26342895,339.775827072,2235.21848586,31.6165485891,31.6165485894,2479193.61496,37.8284353304,37.82843533043494,84.67195007979791,,
13,"(96551.26373564714, 756114.3911218855)",640,13,103.72570328548613,tetap,,9348720.18364,Pekalipan,Pulasaren,Hak Milik,00640,9.82581655476,Normal,3.0,Perdagangan dan Jasa Kelas 1,7.0,Lokal Setapak,1.0,7084,103.72570328548613,Sama,2.0,1.835479,1172.02712844,1899.2194523,2329.9390824,194.136281114,2030.77103518,74.3864954965,74.3864955012,9348720.18364,40.7599640897,40.75996408966378,103.72570328548613,,
14,"(96505.88102965945, 755903.6818174035)",928,14,126.64790059116018,tetap,,1251533.32923,Pekalipan,Pulasaren,Hak Milik,00928,12.8940364841,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,6687,126.64790059116018,Sama,2.0,1.835479,1327.5893199,1520.48390299,1951.20353309,409.804251863,2254.24751709,45.8919409655,45.8919409652,1251533.32923,44.6944950419,44.69449504192626,126.64790059116018,,
15,"(96253.08018338686, 756177.0529136271)",1057,15,39.6525299464437,tetap,,1512420.00487,Pekalipan,Pulasaren,Hak Milik,01057,5.80831710927,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,7853,39.6525299464437,Sama,2.0,1.51,1710.46105014,1509.22146965,1939.94109975,398.541818524,1985.81121541,31.0300505156,31.0300505129,1512420.00487,26.8020455255,26.802045525510987,39.6525299464437,,
16,"(96503.5842641692, 756294.4148222229)",739,16,218.30060285130432,tetap,,9493031.64283,Pekalipan,Pulasaren,Hak Milik,00739,6.67905994846,Normal,3.0,Perdagangan dan Jasa Kelas 1,7.0,Lokal Primer,3.0,7013,218.30060285130432,Sama,2.0,12.785432656,1164.58018809,1772.93988813,2203.65951823,200.417294635,2202.38355991,70.040658554,70.0406585532,9493031.64283,72.5618651775,72.56186517748235,218.30060285130432,,
17,"(96354.5679398363, 756065.7055598053)",1021,17,12.778265412052667,tetap,,1576785.2017,Pekalipan,Pulasaren,Kosong,01021,6.14424554251,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,8062,12.778265412052667,Sama,2.0,2.0,1803.91584904,1638.12023645,2068.83986656,527.440585323,1908.66702646,33.5228487455,33.5228487494,1576785.2017,14.5917552937,14.591755293695558,12.778265412052667,,
18,"(96749.99119081291, 756343.6128322171)",365,18,20.37403411054521,tetap,,1372660.49585,Pekalipan,Pulasaren,Hak Milik,00365,4.75461137481,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,7846,20.37403411054521,Sama,2.0,1.835478594,1493.61327772,1394.12169024,1824.84132035,283.442039117,2061.31334395,33.7623188688,33.7623188717,1372660.49585,21.276266918,21.276266917992515,20.37403411054521,,
19,"(96417.44946466357, 756178.7074033881)",0,19,0.0,tetap,0,0.0,Pekalipan,Pulasaren,Hak Milik, ,4.63987677683,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,6784,54.82616089357196,Sama,2.0,1.835479,1360.40278323,1726.84610569,2157.56573579,248.131038089,2174.59707195,35.0193123536,35.0193123535,1691782.92407,33.4902005802,33.49020058023307,54.82616089357196,,
20,"(96320.05415536073, 756244.4835959703)",687,20,72.37404282490348,tetap,,1472283.17658,Pekalipan,Pulasaren,Hak Milik,00687,8.41005562144,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,6981,72.37404282490348,Sama,2.0,1.835478594,1380.55144664,1573.44430929,2004.16393939,425.299457877,2307.20964383,30.0352366023,30.0352366002,1472283.17658,37.2335652173,37.23356521732567,72.37404282490348,,
